CRN/Class, Course ID, Course Name, Units, Type, Days, Hours, Room, Dates, Instructor, Capacity, Enrolled, Available, Type2, Days2, Hours2, Room2, Dates2, Type3, Days3, Hours3, Room3, Dates3

Anthropology
13074,BIO-120-02D,General Microbiology,0,DISC,W,8:30-9:20am,GLCR 120,18-JAN 06-MAY,Vargas Sonia,30,30,Closed
13075,BIO-120-03D,General Microbiology,0,DISC,W,9:30-10:20am,CLSSRM 286,18-JAN 06-MAY,Vargas Sonia,30,30,Closed
14105,BIO-120-04D,General Microbiology,0,DISC,W,11:30-12:20pm,GLCR 135,18-JAN 06-MAY,Vargas Sonia,30,30,Closed
13189,BIO-120L-01,General Micro Lab,3,LECT,F,11:30-12:20pm,SSM 104,18-JAN 06-MAY,Garcia-Ojeda Marcos,60,60,Closed,EXAM,F,8:00-11:00am,SSB 130,13-MAY 13-MAY
13076,BIO-120L-02L,General Micro Lab,0,LAB,MW,10:30-1:20pm,SCIENG 155,18-JAN 06-MAY,Perez Pedro Antonio,20,20,Closed
13077,BIO-120L-03L,General Micro Lab,0,LAB,TR,6:00-8:50pm,SCIENG 155,18-JAN 06-MAY,Paggeot Lisa,20,20,Closed
16374,BIO-120L-04L,General Micro Lab,0,LAB,MW,6:00-8:50pm,SCIENG 155,18-JAN 06-MAY,Gonzalez Moreno Perla,20,20,Closed
13576,BIO-127-01,General Virology,4,LECT,MW,6:00-7:15pm,SSB 120,18-JAN 06-MAY,Doscher Evin,72,53,19,EXAM,R,3:00-6:00pm,SSB 120,12-MAY 12-MAY
13577,BIO-127-02D,General Virology,0,DISC,W,8:30-9:20am,ADMIN 354,18-JAN 06-MAY,Varadan Ambarish,24,23,1
14106,BIO-127-03D,General Virology,0,DISC,M,9:30-10:20am,GLCR 140,18-JAN 06-MAY,Varadan Ambarish,24,10,14
15075,BIO-127-04D,General Virology,0,DISC,M,10:30-11:20am,GLCR 165,18-JAN 06-MAY,Davalos Oscar,24,20,4
15103,BIO-127LB-01,General Virology Lab B,4,LECT,M,1:30-2:20pm,COB2 266,18-JAN 06-MAY,Grasis Juris,24,4,20,EXAM,M,3:00-6:00pm,COB2 266,09-MAY 09-MAY
15104,BIO-127LB-02L,General Virology Lab B,0,LAB,TR,11:30-2:20pm,SRE 155,18-JAN 06-MAY,Lee Ching,24,4,20
15543,BIO-130-01,Plant Biology,4,LECT,TR,4:30-5:45pm,CLSSRM 110,18-JAN 06-MAY,Moran Emily,48,48,Closed,EXAM,T,8:00-11:00am,CLSSRM 110,10-MAY 10-MAY
15544,BIO-130-02L,Plant Biology,0,LAB,W,8:30-10:20am,SRE 401,18-JAN 06-MAY,Pennington Lillie,24,24,Closed
15545,BIO-130-03L,Plant Biology,0,LAB,W,10:30-12:20pm,SRE 401,18-JAN 06-MAY,Pennington Lillie,24,24,Closed
15546,BIO-133-01,Flora of California,4,LECT,TR,3:00-4:15pm,CLSSRM 110,18-JAN 06-MAY,Sexton Jason,48,41,7,EXAM,M,11:30-2:30pm,CLSSRM 110,09-MAY 09-MAY
15547,BIO-133-02L,Flora of California,0,LAB,R,9:00-11:50am,SRE 401,18-JAN 06-MAY,Toews Daniel,24,24,Closed
15548,BIO-133-03L,Flora of California,0,LAB,R,12:00-2:50pm,SRE 401,18-JAN 06-MAY,Toews Daniel,24,17,7
14948,BIO-134-01,Ocean Science,3,LECT,TR,3:00-4:15pm,CLSSRM 264,18-JAN 06-MAY,Beman Michael,24,24,Closed,EXAM,M,3:00-6:00pm,CLSSRM 264,09-MAY 09-MAY
10050,BIO-140-01,Genetics,4,LECT,TR,12:00-1:15pm,CLSSRM 120,18-JAN 06-MAY,Ramalho Da Silva Lolanda,168,167,1,EXAM,R,8:00-11:00am,COB2 110,12-MAY 12-MAY
10468,BIO-140-02D,Genetics,0,DISC,T,5:30-7:20pm,COB2 262,18-JAN 06-MAY,Troy Kris,24,24,Closed
10469,BIO-140-03D,Genetics,0,DISC,T,7:30-9:20pm,ADMIN 354,18-JAN 06-MAY,Troy Kris,24,24,Closed
10470,BIO-140-04D,Genetics,0,DISC,W,5:30-7:20pm,CLSSRM 272,18-JAN 06-MAY,Nguyen Namkha,24,24,Closed
10471,BIO-140-05D,Genetics,0,DISC,W,7:30-9:20pm,ADMIN 255,18-JAN 06-MAY,Nguyen Namkha,24,24,Closed
